"Rat","Monkey","Dog","Liver"
0.36985,0.30436,0.3491,0.09579
0.3705,0.31113,0.32808,0.09659
0.37999,0.33815,0.34629,0.14094
0.35449,0.28616,0.34654,0.0979
0.35008,0.29883,0.33325,0.09635
0.38386,0.32376,0.34385,0.13356
0.38107,0.29583,0.34222,0.09194
0.38808,0.31281,0.32606,0.13087
0.36979,0.3406,0.33732,0.11417
0.36505,0.32083,0.39087,0.14839
0.36719,0.32726,0.38148,NA
0.36526,0.34512,0.38914,NA
0.37479,0.31263,0.33514,NA
0.34509,0.30659,0.325,NA
0.34402,0.33384,0.33431,NA
0.3928,NA,NA,NA
0.38732,NA,NA,NA
0.39299,NA,NA,NA
0.37627,NA,NA,NA
0.37572,NA,NA,NA
0.37679,NA,NA,NA
0.38103,NA,NA,NA
0.38916,NA,NA,NA
0.35839,NA,NA,NA
0.35159,NA,NA,NA
